Series ID,Region Name,Region Code,01-06-2023
FLOKEE3URN,"Okeechobee County, FL",12093,3.4
FLORAN0URN,"Orange County, FL",12095,2.9
FLOSCE7URN,"Osceola County, FL",12097,3.4
FLPALM2URN,"Palm Beach County, FL",12099,3.1
FLPASC5URN,"Pasco County, FL",12101,3.3
FLPINE5URN,"Pinellas County, FL",12103,2.7
FLPOLK5URN,"Polk County, FL",12105,3.8
FLPUTN7URN,"Putnam County, FL",12107,4.1
FLSTJO9URN,"St. Johns County, FL",12109,2.6
FLSTLU5URN,"St. Lucie County, FL",12111,3.6
FLSANT7URN,"Santa Rosa County, FL",12113,3
FLSARA5URN,"Sarasota County, FL",12115,3
FLSEMI0URN,"Seminole County, FL",12117,2.9
FLSUMT9URN,"Sumter County, FL",12119,4.1
FLSUWA1URN,"Suwannee County, FL",12121,3.4
FLTAYL3URN,"Taylor County, FL",12123,3.3
FLUNIO5URN,"Union County, FL",12125,3.1
FLVOLU7URN,"Volusia County, FL",12127,3.2
FLWAKU9URN,"Wakulla County, FL",12129,2.9
FLWALT1URN,"Walton County, FL",12131,2.6
FLWASH3URN,"Washington County, FL",12133,3.3
GAAPPL1URN,"Appling County, GA",13001,4.1
GAATKI3URN,"Atkinson County, GA",13003,3
GABACO5URN,"Bacon County, GA",13005,3.2
GABAKE7URN,"Baker County, GA",13007,3.9
GABALD9URN,"Baldwin County, GA",13009,4.7
GABANK1URN,"Banks County, GA",13011,2.5
GABARR3URN,"Barrow County, GA",13013,3
GABART5URN,"Bartow County, GA",13015,3.2
GABENH7URN,"Ben Hill County, GA",13017,4.7
GABERR9URN,"Berrien County, GA",13019,3.8
GABIBB1URN,"Bibb County, GA",13021,4.4
GABLEC3URN,"Bleckley County, GA",13023,5.3
GABRAN5URN,"Brantley County, GA",13025,4
GABROO7URN,"Brooks County, GA",13027,3.7
GABRYA9URN,"Bryan County, GA",13029,3
GABULL1URN,"Bulloch County, GA",13031,4.2
GABURK3URN,"Burke County, GA",13033,6.1
GABUTT5URN,"Butts County, GA",13035,3.2
GACALH7URN,"Calhoun County, GA",13037,3.5
GACAMD9URN,"Camden County, GA",13039,3.2
GACAND3URN,"Candler County, GA",13043,2.5
GACARR0URN,"Carroll County, GA",13045,3.7
GACATO7URN,"Catoosa County, GA",13047,3
GACHAR9URN,"Charlton County, GA",13049,3.1
GACHAT9URN,"Chatham County, GA",13051,3.3
GACHAT3URN,"Chattahoochee County, GA",13053,4.4
GACHAT5URN,"Chattooga County, GA",13055,4.2
GACHER5URN,"Cherokee County, GA",13057,2.9
GACLAR5URN,"Clarke County, GA",13059,4
GACLAY1URN,"Clay County, GA",13061,8.5
GACLAY5URN,"Clayton County, GA",13063,4.4
GACLIN5URN,"Clinch County, GA",13065,2.9
GACOBB0URN,"Cobb County, GA",13067,3.1
GACOFF9URN,"Coffee County, GA",13069,3.7
GACOLQ1URN,"Colquitt County, GA",13071,3
GACOLU3URN,"Columbia County, GA",13073,3.4
GACOOK5URN,"Cook County, GA",13075,3.3
GACOWE7URN,"Coweta County, GA",13077,3.2
GACRAW9URN,"Crawford County, GA",13079,3.3
GACRIS1URN,"Crisp County, GA",13081,3.9
GADADE3URN,"Dade County, GA",13083,3
GADAWS5URN,"Dawson County, GA",13085,2.9
GADECA7URN,"Decatur County, GA",13087,3.8
GADEKA9URN,"De Kalb County, GA",13089,3.5
GADODG1URN,"Dodge County, GA",13091,4.6
GADOOL3URN,"Dooly County, GA",13093,3.8
GADOUG5URN,"Dougherty County, GA",13095,4.7
GADOUG0URN,"Douglas County, GA",13097,3.8
GAEARL9URN,"Early County, GA",13099,3.8
GAECHO1URN,"Echols County, GA",13101,2.8
GAEFFI3URN,"Effingham County, GA",13103,2.9
GAELBE5URN,"Elbert County, GA",13105,3.8
GAEMAN7URN,"Emanuel County, GA",13107,4.6
GAEVAN9URN,"Evans County, GA",13109,3.3
GAFANN1URN,"Fannin County, GA",13111,3
GAFAYE3URN,"Fayette County, GA",13113,3.3
GAFLOY0URN,"Floyd County, GA",13115,3.7
GAFORS7URN,"Forsyth County, GA",13117,2.9
GAFRAN9URN,"Franklin County, GA",13119,3.7
GAFULT1URN,"Fulton County, GA",13121,3.7
GAGILM3URN,"Gilmer County, GA",13123,3.3
GAGLAS5URN,"Glascock County, GA",13125,3.6
GAGLYN5URN,"Glynn County, GA",13127,3.1
